id,label,ctype,Descripción,Fuente,Tipo de Fuente,Medida
Anio,ano del dato,Ye,NA,NA,NA,NA
v1_cr_001,porcentaje poblacion que leyo por lo menos un libro,Nu,NA,"Encuestas de Percepción Ciudadana, Cómo Vamos",NA,NA
v1_cr_002,porcentaje de poblacion que participa de alguna actividad cultural,Nu,NA,"Encuestas de Percepción Ciudadana, Cómo Vamos",NA,NA
v1_cr_003,porcentaje de poblacion que participa en al menos una actividad deportiva o recreativa,Nu,NA,"Encuestas de Percepción Ciudadana, Cómo Vamos",NA,NA
v1_d_001,poblacion total,Nu,Número total de habitantes en la ciudad y su área rural,DANE,AMB Cómo Vamos lo estructura,Número
v1_d_001_01,poblacion cabecera,Nu,"Número total de habitantes en la cabecera municipal de Barranquilla, área urbana",DANE,AMB Cómo Vamos lo estructura,Número
v1_d_001_02,poblacion resto,Nu,"Número total de habitantes que no está en la cabecera municipal de Barranquilla, área rural",DANE,AMB Cómo Vamos lo estructura,Número
v1_d_002,porcentaje de poblacion en el area urbana,Nu,Participación porcentual de los habitantes del área urbana en el total de la población,DANE,AMB Cómo Vamos lo estructura,Porcentaje
v1_d_011,indice de envejecimiento,Nu,"Mide la cantidad de adultos mayores por cada 100 niños y jóvenes. Se calcula haciendo la razón entre personas de 65 años y más con respecto a las personas menores de 15 años, multiplicado por 100","DANE, Cálculos BqCV",AMB Cómo Vamos lo estructura,Índice
v1_d_012_01,indice de masculinidad,Nu,Es la relación entre el número de hombres y de mujeres en una población. Se expresa como la razón del número de hombres entre el número de mujeres por cada 100 mujeres,"DANE, Cálculos BqCV",AMB Cómo Vamos lo estructura,Índice
v1_d_014,tasa de dependencia,Nu,NA,NA,NA,NA
v1_d_014_01,relacion de dependencia infantil,Nu,"Es un indicador de dependencia económica de los niños con la población productiva. Mide la cantidad de niños menores de 15 años sobre la población entre 15 a 64 años, multiplicado por 100","DANE, Cálculos BqCV",AMB Cómo Vamos lo estructura,Índice
v1_d_031,nacimientos totales,Nu,NA,NA,NA,NA
v1_d_033_01,total defunciones,Nu,Número total de personas fallecidas en la ciudad,DANE,AMB Cómo Vamos lo estructura,Número
v10_ep_001_01,parques (sin resto de espacio publico),Nu,NA,Foro Hídrico,NA,NA
v10_ep_001_02,zonas verde,Nu,NA,Foro Hídrico,NA,NA
v10_ep_001_03,polideportivos,Nu,NA,Foro Hídrico,NA,NA
v10_ep_001_04,boulevares,Nu,NA,Foro Hídrico,NA,NA
v10_ep_001_05,plazoletas,Nu,NA,Foro Hídrico,NA,NA
v10_ep_001_06,plazas,Nu,NA,Foro Hídrico,NA,NA
v10_ep_001_07,canchas,Nu,NA,Foro Hídrico,NA,NA
v10_ep_001_08,numero de parques,Nu,NA,Foro Hídrico,NA,NA
v10_ep_001_09,numero de parques recuperados,Nu,NA,Foro Hídrico,NA,NA
v10_ep_001_10,zonas verde metros cuadrados,Nu,NA,Foro Hídrico,NA,NA
v10_ep_001_11,polideportivos metros cuadrados,Nu,NA,Foro Hídrico,NA,NA
v10_ep_001_12,boulevares metros cuadrados,Nu,NA,Foro Hídrico,NA,NA
v10_ep_001_13,plazoletas metros cuadrados,Nu,NA,Foro Hídrico,NA,NA
v10_ep_001_14,plazas metros cuadrados,Nu,NA,Foro Hídrico,NA,NA
v10_ep_001_15,canchas metros cuadrados,Nu,NA,Foro Hídrico,NA,NA
v10_ep_001_16,m2 de espacio publico recuperado en la ronda del sistema de canales del rio magdalena,Nu,NA,Secretaría de Control urbano y Espacio público,NA,NA
v10_ep_001_19,m2 de espacio publico recuperado (zonas verdes),Nu,NA,Secretaría de Control urbano y Espacio público,NA,NA
v11_cr_001_01,numero de bibliotecas en localidad norte centro historico,Nu,NA,Secretaría de Cultura,NA,NA
v11_cr_001_02,numero de bibliotecas en localidad riomar,Nu,NA,Secretaría de Cultura,NA,NA
v11_cr_001_03,numero de bibliotecas en localidad suroccidente,Nu,NA,Secretaría de Cultura,NA,NA
