id,id_original,label,ctype,Fuente,Tipo_Unidad_Medida,Unidad_medida,Capítulo (Red Cómo Vamos),Anillo,Capitulo (Bogotá),Entidad responsable,Metodo de recolección,Descripción del indicador,Observaciones
Ciudad,Ciudad,Ciudad del dato,Ca,No Aplica,Texto,Nombre de la Ciudad,0. Identificación Datos,Identificación Datos,0. Identificación Datos,0,0,0,0
Localidad,Territorio,Localidad,Ca,No Aplica,Texto,Nombre de la Localidad,0. Identificación Datos,Identificación Datos,0. Identificación Datos,0,0,0,"En el dato correspondiente a la ciudad se asigó el valor ""Total Bogotá"""
Anio,Anio,Año del dato,Ye,No Aplica,Número,Año,0. Identificación Datos,Escenarios Transversales,0. Identificación Datos,0,0,0,0
v1_d_001,01-d-001,Población Total,Nu,DANE,Número,Personas,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Mide el número de personas que habitan en el área cabecera,0
v1_d_003,01-d-002,Población Hombres,Nu,DANE,Número,Personas,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Mide el número de hombres que habitan en el área cabecera,0
v1_d_004,01-d-003,Población Mujeres,Nu,DANE,Número,Personas,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Mide el número de hombres que habitan en el área cabecera,0
v1_d_005,01-d-005,Extensión territorial área km2 (area urbana),Nu,Secretaría de Planeación,Número,Kilómetros Cuadrados,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Superficie del distrito capital en kilómetros cuadrados que tiene el mismo para el area urbana,0
v1_d_006,01-d-006,Extensión territorial área km2 (total),Nu,Secretaría de Planeación,Número,Kilómetros Cuadrados,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Superficie del distrito capital  en kilometros cuadrados,0
v1_d_007,01-d-007,Extensión territorial área hectáreas,Nu,Secretaría de Planeación,Número,Hectáreas,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Superficie del distrito capital  en Hectáreas,0
v1_d_008,01-d-008,Densidad poblacional por Km2 (urbana),Nu,DANE,Tasa,Habitantes por cada Km2,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Define la razón existente entre el número de personas que habitan en un territorio y la cantidad de metros cuadrados que tiene el mismo para el area urbana,0
v1_d_009,01-d-009,Densidad poblacional por Km2 (total),Nu,DANE,Tasa,Habitantes por cada Km2,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Define la razón existente entre el número de personas que habitan en un territorio y la cantidad de Km2 que tiene el mismo,0
v1_d_010,01-d-010,Tasa  de Crecimiento de la Población,Nu,DANE,Porcentaje,Variación,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Mide la tasa de crecimiento interanual de la población,0
v1_d_011,01-d-011,Índice de Envejecimiento,Nu,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Encuesta,Mide el porcentaje de personas con edades de 65 años y más edad sobre la poblaciones de 0-14 años,0
v1_d_012,01-d-012,Índice de Envejecimiento Hombres,Nu,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Encuesta,Mide el porcentaje de hombres con edades de 65 años y más edad sobre la poblaciones de 0-14 años,0
v1_d_013,01-d-013,Índice de Envejecimiento Mujeres,Nu,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Encuesta,Mide el porcentaje de mujeres con edades de 65 años y más edad sobre la poblaciones de 0-14 años,0
v1_d_014,01-d-014,Tasa de Dependencia,Nu,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Encuesta,Mide la relación de las personas dependientes (0 a 14 años + personas de 65 años y más) sobre las personas en edad activa (personas de 15 a 64 años).,0
v1_d_015,01-d-015,Tasa de Dependencia hombres,Nu,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Encuesta,Mide la relación de las personas dependientes hobres (0 a 14 años + personas de 65 años y más) sobre las personas en edad activa (personas de 15 a 64 años).,0
v1_d_016,01-d-016,Tasa de Dependencia mujeres,Nu,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Encuesta,Mide la relación de las personas dependientes mujeres (0 a 14 años + personas de 65 años y más) sobre las personas en edad activa (personas de 15 a 64 años).,0
v1_d_017,01-d-017,Porcentaje de Población Indígena,Nu,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Mide el porcentaje de la población indígena,Solo Disponible para el censo 2005
v1_d_018,01-d-018,Porcentaje de Población Afrodescendientes,Nu,DANE,Porcentaje,Porción,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital  de Planeación,Censo,Mide el porcentaje de la población  afrodescendiente,Solo Disponible para el censo 2005
v1_d_019,01-d-019,Esperanza de vida al nacer,Nu,Secretaría Distrital de Planeación,Número,Años,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital de Planeación,Encuesta,Mide el número promedio de años que vivirían los integrantes de una cohorte hipotética de personas que permaneciese sujeta a la mortalidad imperante en la población en estudio desde su nacimiento hasta su extinción.,0
v1_d_020,01-d-020,Esperanza de vida al nacer Hombres,Nu,Secretaría Distrital de Planeación,Número,Años,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital de Planeación,Censo,Número promedio de años que viviría un hombre siempre y cuando se mantengan las tendencias de mortalidad existentes en un determinado período,0
v1_d_021,01-d-021,Esperanza de vida al nacer Mujeres,Nu,Secretaría Distrital de Planeación,Número,Años,1. Demografía,Escenarios Transversales,1. Demografía,Secretaría Distrital de Planeación,Censo,Número promedio de años que viviría una mujer siempre y cuando se mantengan las tendencias de mortalidad existentes en un determinado período,0
v2_p_004,02-p-004,coeficiente de Gini de los ingresos,Nu,DANE,Número,Coeficiente de GINI,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,DANE,Encuesta,"Mide el grado de desigualdad de la distribución del ingreso o la desigualdad de la riqueza de un espacio territorial. Toma valores entre 0 y 1, donde 0 indica que todos los individuos tienen el mismo ingreso y 1 indica que sólo un individuo tiene todo el ingreso.",0
v2_p_009,02-p-009,Coeficiente de Gini Bogotá Multipróposito,Nu,DANE,Número,Coeficiente de GINI,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,Secretaría Distrital de Planeación,Encuesta,"Mide el grado de desigualdad de la distribución del ingreso o la desigualdad de la riqueza de un espacio territorial. Toma valores entre 0 y 1, donde 0 indica que todos los individuos tienen el mismo ingreso y 1 indica que sólo un individuo tiene todo el ingreso.",0
v2_p_010,02-p-010,Índice de condiciones de vida ICV Multipropósito,Nu,DANE,Número,ICV. Valor de 0 a 100,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,Secretaría Distrital de Planeación,Encuesta,"Este índice asigna a cada hogar un puntaje que varía entre 0 y 100, aumentando cuando mejoran las condiciones de vida del hogar, es decir, que a mayor puntaje, mejores condiciones de vida de la población analizada.",0
v2_p_011,02-p-011,Índice de Pobreza Multidimensional Bogotá,Nu,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,Secretaría Distrital de Planeación,Encuesta,"Refleja las carencias – Privaciones – en las condiciones básicas que requieren los hogares o personas de una sociedad para alcanzar el bienestar.  Se construye con base a cinco dimensiones: las condiciones educativas del hogar, las condiciones de la niñez y la juventud, la salud, el trabajo, el acceso a los servicios públicos domiciliarios y las condiciones de la vivienda. Estas 5 dimensiones involucran 15 indicadores, obtenidos a través de la Encuesta Nacional de Calidad de Vida. Según el resultado del índice son considerados pobres los hogares que tengan privación en por lo menos 5 de los 15 indicadores.",0
v2_p_012,02-p-012,Índice de Pobreza Multidimensional Multipropósito,Nu,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,Secretaría Distrital de Planeación,Encuesta,"Refleja las carencias – Privaciones – en las condiciones básicas que requieren los hogares o personas de una sociedad para alcanzar el bienestar.  Se construye con base a cinco dimensiones: las condiciones educativas del hogar, las condiciones de la niñez y la juventud, la salud, el trabajo, el acceso a los servicios públicos domiciliarios y las condiciones de la vivienda. Estas 5 dimensiones involucran 15 indicadores, obtenidos a través de la Encuesta Nacional de Calidad de Vida. Según el resultado del índice son considerados pobres los hogares que tengan privación en por lo menos 5 de los 15 indicadores.",0
v2_p_002,02-p-002,Incidencia pobreza monetaria extrema,Nu,DANE,Porcentaje,Porción,2. Pobreza y equidad,Escenarios Transversales,2. Pobreza y desigualdad,DANE,Encuesta,Mide el porcentaje de personas que no alcanzan a cubrir el costo mensual  de una canasta alimentaria mínima que garantice un adecuado consumo calórico. Está expresada como el costo mínimo de una canasta (valor definido para Bogota) para satisfacer un umbral mínimo de necesidades nutricionales.,0
