id,label,ctype,UNIDAD,TEMA,FUENTE
Anio,Año,Ye,NA,NA,NA
v0_ep_001,total de metros de epe,Nu,M2,espacio publico,DAPM
v0_ep_003,numero de metros cuadrados recuperados,Nu,M2,espacio publico,SGCS
v0_ep_005,numero de operativos realizados,Nu,#,espacio publico,SGCS
v0_ep_006,espacio publico por habitante,Nu,M2/HABITANTE,espacio publico,DAPM
v0_ep_010,espacio publico efectivo-parques,Nu,M2,espacio publico,DAPM
v0_ep_010_1,espacio publico efectivo-parques otros,Nu,M2,espacio publico,DAPM
v0_ep_011,espacio publico efectivo -plazas y plazoletas,Nu,M2,espacio publico,DAPM
v0_ep_011_1,espacio publico efectivo -plazas y plazoletas otros,Nu,M2,espacio publico,DAPM
v0_ep_012,espacio publico efectivo-zonas verdes,Nu,M2,espacio publico,DAPM
v0_ep_012_1,espacio publico efectivo-zonas verdes,Nu,M2,espacio publico,DAPM
v0_ep_013,indice de espacio publico efectivo por habitante-parques,Nu,M2/HABITANTE,espacio publico,DAPM
v0_ep_014,indice de espacio publico efectivo por habitante-plazas y plazoletas,Nu,M2/HABITANTE,espacio publico,DAPM
v0_ep_015,indice de espacio publico efectivo por habitante-zonas verdes,Nu,M2/HABITANTE,espacio publico,DAPM
v0_ep_016,total espacio publico generado y recuperado,Nu,M2,espacio publico,CÁLCULO CCV
v0_ep_017,espacio publico generado,Nu,M2,espacio publico,CÁLCULO CCV
v0_ep_018,espacio publico recuperado,Nu,M2,espacio publico,CÁLCULO CCV
v0_ep_019,licencias de ocupacion de espacio publico expedidas,Nu,#,espacio publico,DAPM
v0_ep_020,certificados de adecuacion de zonas verdes,Nu,#,espacio publico,DAPM
v0_ep_021,numero de ocupaciones removidas (kioskos),Nu,#,espacio publico,SGCS
v10_ep_001_02,"mantenimiento arboreo: podas avenidas norte, sur y mio",Nu,#,medio ambiente,DAGMA
v10_ep_001_03,mantenimiento arboreo: talas,Nu,#,medio ambiente,DAGMA
v10_ep_001_04,"mantenimiento arboreo: talas avenidas norte, sur y mio",Nu,#,medio ambiente,DAGMA
v10_ep_001_05,numero de arboles,Nu,#,medio ambiente,DAGMA
v10_ep_001_06,mantenimiento de zonas verdes por parte del dagma,Nu,MILES DE METROS CUADRADOS,medio ambiente,DAGMA
v10_ep_001_07,basureros erradicados cronicos intervenidos por el dagma,Nu,#,medio ambiente,DAGMA
v10_ep_001_08,basureros impactados cronicos intervenidos por el dagma,Nu,#,medio ambiente,DAGMA
v10_ep_001_09,transferencias,Nu,MILLONES DE PESOS,finanzas publicas,DAHM
