Ciudad,Territorio,Anio,v1_d_001,v1_d_022,v1_d_023,v1_d_024,v1_d_025,v1_d_026,v1_d_027,v1_d_028,v1_d_029,v1_d_030,v1_d_031,v1_d_032,v3_s_024,v3_s_022,v3_s_023,v3_s_025,v3_s_010,v3_s_011,v3_s_030,v3_s_029,v3_s_005,v3_s_015,v3_s_008,v3_s_016,v3_s_017,v3_s_040,v3_s_041,v3_s_014,v3_s_009,v3_s_042,v4_e_114,v4_e_115,v4_e_116,v4_e_117,v4_e_118,v4_e_119,v4_e_120,v4_e_121,v4_e_122,v4_e_123,v4_e_124,v4_e_125,v4_e_126,v4_e_127,v4_e_128,v4_e_129,v4_e_130,v4_e_013,v4_e_014,v4_e_015,v4_e_016,v4_e_002,v4_e_003,v4_e_004,v4_e_005,v4_e_006,v4_e_007,v4_e_131,v4_e_132,v4_e_133,v4_e_134,v4_e_135,v4_e_136,v4_e_137,v6_sc_005,v9_m_007,v6_sc_036,v6_sc_037,v6_sc_030,v6_sc_020,v6_sc_022,v6_sc_017,v6_sc_038,v6_sc_039,v6_sc_040,v6_sc_011,v6_sc_012,v6_sc_006,v6_sc_041,v6_sc_042,v6_sc_043,v7_v_006,v7_v_010,v7_v_008,v7_v_003,v7_v_005,v8_ma_004,v8_ma_005,v9_m_005,v9_m_006,v0_ep_001,v3_gp_054,v3_gp_007,v3_gp_055
Yumbo,Total Yumbo,2006,94514,82933,11581,8279,9006,18667,23245,19466,10071,5780,,,,,,,5.7,12.0,,,,,,,,,,,,,9233,19997,23021,6209,799,1894,12657,8753,2960,81,183,415,932,468,88,,,53.800000000000004,136.7,115.39999999999999,79.80000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yumbo,Total Yumbo,2007,96829,84967,11862,8325,8960,18916,23906,20076,10647,5999,,,42.4,28.299999999999997,29.299999999999997,0.3,10.4,12.5,0.0,0.0,69.6,,,,,,,,,,8200,19261,22477,4984,1239,1751,11636,8433,2919,113,149,373,300,288,112,148,,50.0,126.1,110.1,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yumbo,Total Yumbo,2008,99195,87047,12148,8401,8890,19119,24588,20663,11281,6253,1474,455,44.1,33.800000000000004,22.1,0.3,12.9,14.9,19.8,0.0,67.8,41.28,90.14,,,,,90.14,91.88,,8404,18955,22234,5125,1042,1930,11426,8316,2868,195,166,437,539,278,3,159,,55.60000000000001,124.6,107.89999999999999,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yumbo,Total Yumbo,2009,101596,89158,12438,8510,8814,19269,25291,21219,11957,6536,1355,465,43.3,36.199999999999996,20.5,0.3,11.8,15.5,29.3,0.0,73.7,26.3,93.82000000000001,96.32,,,3.2099999999999995,93.82000000000001,96.67,55.2,8404,19530,21628,6306,1185,1930,11136,8499,2893,253,339,561,602,457,33,46,34.699999999999996,58.3,122.39999999999999,109.80000000000001,73.5,,,,,,,,,,,,,,,,,,,327.8,118.1,91.5,12.8,4.9,1.0,71.9,80.7,201.8,84.6,,,,,,,,,,,,,,,
Yumbo,Total Yumbo,2010,104051,91315,12736,8646,8744,19363,26014,21753,12684,6847,1213,485,43.7,38.3,17.9,0.3,10.7,11.5,29.0,0.0,0.0,21.7,85.99,81.19,,,3.53,87.89,89.24,76.46,4682,19009,19020,4671,429,1594,9886,7750,2678,49,141,393,358,180,184,49,12.5,46.5,109.60000000000001,100.1,67.30000000000001,,,,,,,,,,,,,49.32,51.9,4.8,7.7,41.3,5.8,276.6,53.2,32.5,5.9,4.9,0.0,28.5,51.2,86.5,47.1,47.1,35.6,,,,,,,,,,,,,
Yumbo,Total Yumbo,2011,106559,93523,13036,8783,8728,19400,26750,22267,13466,7165,1047,475,42.07,38.0,19.400000000000002,0.3,7.6,8.6,0.0,0.0,0.0,21.47,88.1,81.2,,36.71,3.94,88.1,89.2,72.58,6313,18983,20542,4754,602,1825,10005,7809,2686,82,230,577,767,448,226,39,17.4,53.1,111.60000000000001,101.1,67.0,,,,,,3.5999999999999996,,,,,,,51.45,91.0,4.7,10.3,8.4,6.6,384.0,42.3,132.9,9.8,3.0,1.0,28.5,90.6,80.7,61.9,63.8,37.5,100.0,82.39999999999999,100.0,89.0,65.0,0.346,64.19,104.7,356.1,,0.4,0.024,0.032
Yumbo,Total Yumbo,2012,109131,95780,13351,8922,8760,19381,27485,22772,14299,7512,1094,436,47.599999999999994,39.800000000000004,12.3,0.3,10.1,12.8,0.0,0.0,91.4,18.81,95.86,67.88,15.58,59.599999999999994,79.93,95.92,88.0,127.99000000000001,6254,18687,20292,4649,526,1727,9966,7622,2562,63,222,663,823,529,238,0,15.0,49.8,111.4,99.3,63.800000000000004,45.0,90.60000000000001,79.3,41.199999999999996,,3.3000000000000003,57.9,59.9,62.7,76.9,59.4,82.5,51.3,62.3,3.7,14.7,6.4,3.7,284.0,55.1,80.7,6.9,1.0,0.0,36.4,67.9,98.0,30.2,31.2,106.3,100.0,82.89999999999999,100.0,89.9,59.599999999999994,0.332,76.41,510.9,1002.2,4.3,0.0,0.064,0.026
Yumbo,Total Yumbo,2013,111753,98082,13671,9053,8845,19323,28219,23269,15166,7878,1072,485,47.08,39.839999999999996,12.82,0.25,8.9,12.5,0.0,0.0,0.0,10.89,65.75,56.92,10.89,48.69,65.8,66.74,67.13,64.24,5295,19155,19581,4869,517,1635,9842,7535,2549,24,161,689,791,635,49,23,5.7,61.0,110.00000000000001,99.0,63.0,37.0,83.0,77.0,36.0,95.89999999999999,2.4,53.800000000000004,56.99999999999999,61.0,73.2,66.8,83.89999999999999,44.2,63.5,22.4,8.9,6.3,8.1,385.0,36.4,74.8,6.9,3.9,0.0,38.4,58.1,152.1,41.2,71.6,70.7,100.0,84.7,99.0,90.10000000000001,55.00000000000001,0.334,70.9,3539.0,11166.6,,0.8,0.115,0.006
Yumbo,Total Yumbo,2014,114427,100434,13951,9181,8969,19253,28925,23774,16049,8276,1111,405,46.47,38.71,14.580000000000002,0.25,1.8,1.8,0.0,0.0,0.0,8.0,71.0,79.0,10.89,48.699999999999996,79.0,71.0,80.0,64.2,5022,18836,22032,1825,411,1599,9589,7601,2531,3,43,603,772,584,102,0,7.5,44.5,106.60000000000001,100.69999999999999,63.1,29.7,80.80000000000001,77.5,53.7,96.39999999999999,1.7000000000000002,53.0,53.0,57.99999999999999,74.0,62.0,77.0,49.0,68.0,16.6,9.6,12.2,3.5,336.0,39.0,44.0,6.0,2.0,0.0,33.0,55.0,170.9,55.1,92.6,,100.0,86.6,98.4,90.9,56.8,0.34,89.0,,,,0.0,0.02,0.03
Yumbo,Total Yumbo,2015,117156,102868,14288,9309,9118,19202,29605,24286,16934,8702,1109,513,47.5,36.3,15.6,0.6,0.0,0.0,0.0,0.0,0.0,9.0,72.0,82.0,9.8,53.0,78.5,71.0,80.0,64.2,5988,19300,20519,4769,549,4471,9969,7370,3478,41,530,1026,882,571,488,20,7.9,80.9,114.5,127.1,88.9,58.9,85.39999999999999,72.1,41.3,97.8,2.1,,,,,,,52.8,79.0,27.0,7.0,0.0,3.0,322.0,28.0,37.0,0.0,0.0,0.0,18.0,60.0,414.0,57.0,108.0,,100.0,88.0,98.4,94.19999999999999,55.800000000000004,0.35,79.93,,,,0.0,0.07,0.045
