"Category1","Category2","Value"
"D","F",0.648774992208928
"C","H",0.0471157610882074
"B","G",0.0856244356837124
"C","G",0.166385792661458
"D","H",0.259827461093664
"B","H",0.913654130417854
"B","E",0.378459619591013
"A","G",0.113604943500832
"A","F",0.278441586066037
"B","E",0.0339116982650012
"D","F",0.727216765517369
"C","H",0.874927124707028
"B","H",0.537751313298941
"D","H",0.898850025143474
"D","E",0.16288071218878
"C","G",0.732966010924429
"D","F",0.198693608632311
"B","H",0.607971172081307
"A","G",0.505196264944971
"C","E",0.00586113845929503
"A","H",0.561535192886367
"D","H",0.428544254042208
"A","E",0.642421113094315
"B","E",0.109923914074898
"B","H",0.12191749480553
"A","E",0.92885822430253
"D","E",0.236229218775406
"B","F",0.164586104685441
"D","F",0.0520138039719313
"A","F",0.224829590180889
