"pagePathLevel1_","b","sum"
"Ciudadania",2015-01-01,17
"Ciudadania",2015-01-02,19
"Ciudadania",2015-01-03,100
"Ciudadania",2015-01-04,63
"Ciudadania",2015-01-05,130
"Ciudadania",2015-01-06,33
"Ciudadania",2015-01-07,27
"Ciudadania",2015-01-08,39
"Ciudadania",2015-01-09,42
"Ciudadania",2015-01-10,14
"Ciudadania",2015-01-11,15
"Ciudadania",2015-01-12,15
"Ciudadania",2015-01-13,15
"Ciudadania",2015-01-14,11
"Ciudadania",2015-01-15,31
"Ciudadania",2015-01-16,49
"Ciudadania",2015-01-17,11
"Ciudadania",2015-01-18,21
"Ciudadania",2015-01-19,30
"Ciudadania",2015-01-20,33
"Ciudadania",2015-01-21,25
"Ciudadania",2015-01-22,19
"Ciudadania",2015-01-23,27
"Ciudadania",2015-01-24,19
"Ciudadania",2015-01-25,29
"Ciudadania",2015-01-26,51
"Ciudadania",2015-01-27,40
"Ciudadania",2015-01-28,40
"Ciudadania",2015-01-29,19
"Ciudadania",2015-01-30,16
"Ciudadania",2015-01-31,19
"Ciudadania",2015-02-01,12
"Ciudadania",2015-02-02,18
"Ciudadania",2015-02-03,12
"Ciudadania",2015-02-04,24
"Ciudadania",2015-02-05,25
"Ciudadania",2015-02-06,28
"Ciudadania",2015-02-07,41
"Ciudadania",2015-02-08,37
"Ciudadania",2015-02-09,23
"Ciudadania",2015-02-10,30
"Ciudadania",2015-02-11,35
"Ciudadania",2015-02-12,123
"Ciudadania",2015-02-13,20
"Ciudadania",2015-02-14,12
"Ciudadania",2015-02-15,14
"Ciudadania",2015-02-16,14
"Ciudadania",2015-02-17,29
"Ciudadania",2015-02-18,69
"Ciudadania",2015-02-19,44
"Ciudadania",2015-02-20,34
"Ciudadania",2015-02-21,22
"Ciudadania",2015-02-22,22
"Ciudadania",2015-02-23,33
"Ciudadania",2015-02-24,52
"Ciudadania",2015-02-25,49
"Ciudadania",2015-02-26,58
"Ciudadania",2015-02-27,99
"Ciudadania",2015-02-28,1508
"Ciudadania",2015-03-01,1841
"Ciudadania",2015-03-02,139
"Ciudadania",2015-03-03,54
"Ciudadania",2015-03-04,50
"Ciudadania",2015-03-05,49
"Ciudadania",2015-03-06,43
"Ciudadania",2015-03-07,44
"Ciudadania",2015-03-08,90
"Ciudadania",2015-03-09,49
"Ciudadania",2015-03-10,100
"Ciudadania",2015-03-11,54
"Ciudadania",2015-03-12,187
"Ciudadania",2015-03-13,321
"Ciudadania",2015-03-14,147
"Ciudadania",2015-03-15,21
"Ciudadania",2015-03-16,37
"Ciudadania",2015-03-17,41
"Ciudadania",2015-03-18,56
"Ciudadania",2015-03-19,33
"Ciudadania",2015-03-20,88
"Ciudadania",2015-03-21,105
"Ciudadania",2015-03-22,84
"Ciudadania",2015-03-23,148
"Ciudadania",2015-03-24,73
"Ciudadania",2015-03-25,67
"Ciudadania",2015-03-26,51
"Ciudadania",2015-03-27,32
"Ciudadania",2015-03-28,83
"Ciudadania",2015-03-29,34
"Ciudadania",2015-03-30,43
"Ciudadania",2015-03-31,26
"Ciudadania",2015-04-01,43
"Ciudadania",2015-04-02,50
"Ciudadania",2015-04-03,55
"Ciudadania",2015-04-04,38
"Ciudadania",2015-04-05,23
"Ciudadania",2015-04-06,36
"Ciudadania",2015-04-07,110
"Ciudadania",2015-04-08,213
