form,relevance
ciudad,100
servicio,50
ciudadano,49
trabajo,43
empresa,41
sistema,40
programa,35
administración,33
gerencia,33
seguridad,29
educación,27
chico,27
niño,27
salud,25
social,24
mayor,24
infraestructura,23
acta,23
Gobierno,22
gobernación,22
política,22
político,21
persona,21
casa,21
estrategia,21
acuerdo,21
jóvenes,20
entente,20
acuerdo,20
proyecto,20
sector,20
acceso,19
zona,19
sociedad,18
adulto,18
trasporte,18
población,18
ocasión,17
mujer,15
familia,15
bogotano,15
discapacidad,15
proceso,15
colegio,15
academia,14
construcción,14
económico,14
cultura,14
norma,13
tecnología,13
gerencia,13
lugar,13
derecho,13
derecha,13
seguro,12
inversión,12
modelo,12
acción,12
población,12
tecnología,11
cobertura,11
propósito,11
recurso,11
policía,10
participación,10
capital,10
comunidad,10
centro,10
colegio,10
bicicleta,9
decisión,9
riesgo,9
merchandising,9
articulación,9
labor,9
municipio,9
región,9
localidad,8
plan,8
eficiencia,8
base,8
ajusticiamiento,8
conexión,8
barrio,7
grupo,7
tráfico,7
producto,7
calidad de vida,7
obra,7
condición,7
cultural,7
bogotano,7
cursillista,6
estudiante,6
prevención,6
orden público,6
innovación,6
gobierno nacional,6
alcalde,6
organización,6
autoridad,6
transporte público,6
violencia,6
mantenimiento,6
internado,6
TIC,6
plan de desarrollo,6
igualdad,6
acicate,6
costo,6
gente,5
conexión,5
financiero,5
institucional,5
demanda,5
ambiente,5
objetivo,5
víctima,5
nacional,5
encargado,5
futuro,5
productividad,5
media,5
average,5
crecimiento económico,5
habitante,5
instituto,5
vía,4
actividad,4
hijo,4
territorial,4
plataforma,4
tecnológico,4
país,4
madre,4
emplazamiento,4
central,4
discriminación,4
fármaco,4
gerente,4
universidad,4
alianza,4
bienes,4
tratamiento,4
nación,4
barrera,4
intervención,4
área,4
docente,4
coordinación,4
deporte,4
gasto,3
regla,3
visión,3
recurso financiero,3
acompañamiento,3
interés,3
político,3
estación,3
jornada,3
día,3
cambio climático,3
beca,3
