"date","userGender","users"
2015-04-13,"female",24
2015-04-13,"female",38
2015-04-13,"male",28
2015-04-13,"male",77
2015-04-13,"male",32
2015-04-13,"male",26
2015-04-13,"male",30
2015-04-14,"female",40
2015-04-14,"female",138
2015-04-14,"female",55
2015-04-14,"female",20
2015-04-14,"male",43
2015-04-14,"male",257
2015-04-14,"male",97
2015-04-14,"male",42
2015-04-14,"male",53
2015-04-14,"male",73
2015-04-15,"female",49
2015-04-15,"female",152
2015-04-15,"female",42
2015-04-15,"female",32
2015-04-15,"male",43
2015-04-15,"male",221
2015-04-15,"male",69
2015-04-15,"male",30
2015-04-15,"male",49
2015-04-15,"male",69
2015-04-16,"female",69
2015-04-16,"female",162
2015-04-16,"female",30
2015-04-16,"female",40
2015-04-16,"female",26
2015-04-16,"male",77
2015-04-16,"male",328
2015-04-16,"male",146
2015-04-16,"male",69
2015-04-16,"male",142
2015-04-16,"male",128
2015-04-17,"female",36
2015-04-17,"female",101
2015-04-17,"female",42
2015-04-17,"female",30
2015-04-17,"female",45
2015-04-17,"male",49
2015-04-17,"male",217
2015-04-17,"male",85
2015-04-17,"male",69
2015-04-17,"male",126
2015-04-17,"male",142
2015-04-18,"female",26
2015-04-18,"female",49
2015-04-18,"male",30
2015-04-18,"male",83
2015-04-18,"male",51
2015-04-18,"male",34
2015-04-18,"male",42
2015-04-19,"female",30
2015-04-19,"female",63
2015-04-19,"female",28
2015-04-19,"female",26
2015-04-19,"male",24
2015-04-19,"male",69
2015-04-19,"male",24
2015-04-19,"male",34
2015-04-19,"male",36
2015-04-19,"male",38
2015-04-20,"female",43
2015-04-20,"female",128
2015-04-20,"female",36
2015-04-20,"female",20
2015-04-20,"female",20
2015-04-20,"male",51
2015-04-20,"male",194
2015-04-20,"male",83
2015-04-20,"male",34
2015-04-20,"male",53
2015-04-20,"male",67
2015-04-21,"female",55
2015-04-21,"female",146
2015-04-21,"female",34
2015-04-21,"female",24
2015-04-21,"female",36
2015-04-21,"female",22
2015-04-21,"male",41
2015-04-21,"male",184
2015-04-21,"male",71
2015-04-21,"male",41
2015-04-21,"male",51
2015-04-21,"male",81
2015-04-22,"female",79
2015-04-22,"female",136
2015-04-22,"female",51
2015-04-22,"female",24
2015-04-22,"female",38
2015-04-22,"female",30
2015-04-22,"male",51
2015-04-22,"male",211
2015-04-22,"male",91
2015-04-22,"male",47
2015-04-22,"male",79
2015-04-22,"male",95
2015-04-23,"female",57
2015-04-23,"female",142
2015-04-23,"female",57
2015-04-23,"female",22
2015-04-23,"female",26
2015-04-23,"male",61
2015-04-23,"male",300
2015-04-23,"male",138
2015-04-23,"male",61
2015-04-23,"male",67
2015-04-23,"male",99
2015-04-24,"female",51
2015-04-24,"female",132
2015-04-24,"female",36
2015-04-24,"female",26
2015-04-24,"male",30
2015-04-24,"male",207
2015-04-24,"male",107
2015-04-24,"male",61
2015-04-24,"male",71
2015-04-24,"male",105
2015-04-25,"female",36
2015-04-25,"female",57
2015-04-25,"female",28
2015-04-25,"female",22
2015-04-25,"male",38
2015-04-25,"male",150
2015-04-25,"male",47
2015-04-25,"male",45
2015-04-25,"male",40
2015-04-25,"male",57
2015-04-26,"female",61
2015-04-26,"female",109
2015-04-26,"female",38
2015-04-26,"female",30
2015-04-26,"male",51
2015-04-26,"male",277
2015-04-26,"male",123
2015-04-26,"male",69
2015-04-26,"male",71
2015-04-26,"male",89
2015-04-27,"female",41
2015-04-27,"female",132
2015-04-27,"female",59
2015-04-27,"female",30
2015-04-27,"female",38
2015-04-27,"female",22
2015-04-27,"male",45
2015-04-27,"male",225
2015-04-27,"male",97
2015-04-27,"male",51
2015-04-27,"male",75
2015-04-27,"male",79
2015-04-28,"female",89
2015-04-28,"female",176
2015-04-28,"female",79
2015-04-28,"female",41
2015-04-28,"female",32
2015-04-28,"female",20
2015-04-28,"male",57
2015-04-28,"male",316
2015-04-28,"male",154
2015-04-28,"male",83
2015-04-28,"male",87
2015-04-28,"male",95
2015-04-29,"female",67
2015-04-29,"female",204
