"date","pageviews"
2015-01-01,2199
2015-01-02,3425
2015-01-03,4453
2015-01-04,4099
2015-01-05,9506
2015-01-06,9294
2015-01-07,9045
2015-01-08,10580
2015-01-09,8675
2015-01-10,5719
2015-01-11,8379
2015-01-12,11734
2015-01-13,18349
2015-01-14,22935
2015-01-15,31455
2015-01-16,24144
2015-01-17,14598
2015-01-18,16221
2015-01-19,23245
2015-01-20,20277
2015-01-21,15704
2015-01-22,21705
2015-01-23,14859
2015-01-24,10784
2015-01-25,9655
2015-01-26,20539
2015-01-27,22604
2015-01-28,26559
2015-01-29,25611
2015-01-30,21014
2015-01-31,16149
2015-02-01,13652
2015-02-02,21250
2015-02-03,23915
2015-02-04,26595
2015-02-05,21960
2015-02-06,23872
2015-02-07,11719
2015-02-08,12912
2015-02-09,29806
2015-02-10,28291
2015-02-11,21865
2015-02-12,19060
2015-02-13,15493
2015-02-14,9018
2015-02-15,12925
2015-02-16,17358
2015-02-17,20285
2015-02-18,18027
2015-02-19,20709
2015-02-20,17482
2015-02-21,8939
2015-02-22,8729
2015-02-23,18833
2015-02-24,22689
2015-02-25,22847
2015-02-26,22162
2015-02-27,18454
2015-02-28,14397
2015-03-01,15230
2015-03-02,25898
2015-03-03,22579
2015-03-04,22431
2015-03-05,17627
2015-03-06,17411
2015-03-07,10301
2015-03-08,9873
2015-03-09,18107
2015-03-10,22679
2015-03-11,23253
2015-03-12,20619
2015-03-13,24944
2015-03-14,14635
2015-03-15,18367
2015-03-16,33328
2015-03-17,28592
2015-03-18,30435
2015-03-19,26961
2015-03-20,25965
2015-03-21,17082
2015-03-22,12641
2015-03-23,21587
2015-03-24,31991
2015-03-25,32588
2015-03-26,32659
2015-03-27,20545
2015-03-28,12917
2015-03-29,9266
2015-03-30,15344
2015-03-31,23115
2015-04-01,20232
2015-04-02,8822
2015-04-03,14133
2015-04-04,9081
2015-04-05,9544
2015-04-06,18732
2015-04-07,23289
2015-04-08,23526
2015-04-09,26460
2015-04-10,18417
2015-04-11,10479
2015-04-12,11645
2015-04-13,14537
2015-04-14,17381
2015-04-15,18845
2015-04-16,73632
2015-04-17,51036
2015-04-18,23443
2015-04-19,15128
2015-04-20,26441
2015-04-21,26602
2015-04-22,23416
2015-04-23,21069
2015-04-24,16502
2015-04-25,11820
2015-04-26,11963
2015-04-27,18680
2015-04-28,32003
2015-04-29,22443
2015-04-30,16615
2015-05-01,10658
2015-05-02,10434
2015-05-03,11999
2015-05-04,36366
2015-05-05,25550
2015-05-06,29484
2015-05-07,22489
2015-05-08,25935
2015-05-09,18343
2015-05-10,15759
2015-05-11,29917
2015-05-12,26130
2015-05-13,25945
2015-05-14,26407
2015-05-15,21885
2015-05-16,10926
2015-05-17,10316
2015-05-18,14071
2015-05-19,36786
2015-05-20,35525
2015-05-21,27093
2015-05-22,22381
2015-05-23,13865
2015-05-24,17181
2015-05-25,26780
2015-05-26,22788
2015-05-27,20161
2015-05-28,20644
2015-05-29,19394
2015-05-30,10028
2015-05-31,12781
2015-06-01,22759
2015-06-02,27707
2015-06-03,25058
2015-06-04,19495
2015-06-05,17147
2015-06-06,10355
2015-06-07,11947
2015-06-08,10927
2015-06-09,23125
2015-06-10,23001
2015-06-11,21021
2015-06-12,18868
2015-06-13,12241
2015-06-14,9999
2015-06-15,13933
2015-06-16,22825
2015-06-17,22667
2015-06-18,20612
2015-06-19,20846
2015-06-20,13155
2015-06-21,10942
2015-06-22,27756
2015-06-23,19767
2015-06-24,23830
2015-06-25,21291
2015-06-26,17639
2015-06-27,10943
2015-06-28,9428
2015-06-29,17608
2015-06-30,33215
2015-07-01,43663
2015-07-02,28678
2015-07-03,21865
2015-07-04,10599
2015-07-05,10830
2015-07-06,21822
2015-07-07,24365
2015-07-08,24297
2015-07-09,23101
2015-07-10,18818
2015-07-11,9734
2015-07-12,14604
2015-07-13,26496
2015-07-14,26052
2015-07-15,30973
2015-07-16,25951
2015-07-17,21240
2015-07-18,14810
2015-07-19,14225
2015-07-20,13888
2015-07-21,23241
2015-07-22,29421
2015-07-23,40317
2015-07-24,26361
2015-07-25,18685
2015-07-26,23566
2015-07-27,30777
2015-07-28,24229
2015-07-29,28080
2015-07-30,25390
2015-07-31,25707
2015-08-01,14516
2015-08-02,22160
2015-08-03,31129
2015-08-04,33578
2015-08-05,29990
2015-08-06,18096
2015-08-07,12652
2015-08-08,13072
2015-08-09,13019
2015-08-10,29261
2015-08-11,25998
2015-08-12,28865
2015-08-13,24652
2015-08-14,25799
2015-08-15,12494
2015-08-16,19785
2015-08-17,22756
2015-08-18,22486
2015-08-19,24922
2015-08-20,30828
2015-08-21,19425
2015-08-22,14897
2015-08-23,26373
2015-08-24,31657
2015-08-25,25729
2015-08-26,33114
2015-08-27,46357
2015-08-28,34995
2015-08-29,19606
2015-08-30,23461
2015-08-31,30826
2015-09-01,32467
2015-09-02,35861
2015-09-03,33325
2015-09-04,26552
2015-09-05,15496
2015-09-06,17094
2015-09-07,34790
2015-09-08,28407
2015-09-09,30274
2015-09-10,33758
2015-09-11,25969
2015-09-12,18804
2015-09-13,21747
2015-09-14,40245
2015-09-15,38762
2015-09-16,36931
2015-09-17,33779
2015-09-18,37955
2015-09-19,22227
2015-09-20,24145
2015-09-21,45168
2015-09-22,38394
2015-09-23,41903
2015-09-24,37461
2015-09-25,24226
2015-09-26,22393
2015-09-27,20285
2015-09-28,33337
2015-09-29,35035
2015-09-30,35036
2015-10-01,32415
2015-10-02,32384
2015-10-03,25554
2015-10-04,33387
2015-10-05,2263
