"date","SPY.Adjusted","DJI.Adjusted"
"2007-01-03",9533.036,12474.51953
"2007-01-04",9553.2656,12480.69043
"2007-01-05",9477.0664,12398.00977
"2007-01-08",9520.8984,12423.49023
"2007-01-09",9512.8072,12416.59961
"2007-01-10",9544.4992,12442.16016
"2007-01-11",9586.3088,12514.98047
"2007-01-12",9659.1368,12556.08008
"2007-01-16",9640.256,12582.58984
"2007-01-17",9644.3008,12577.15039
"2007-01-18",9611.932,12567.92969
"2007-01-19",9630.8152,12565.53027
"2007-01-22",9601.144,12477.16016
"2007-01-23",9629.4656,12533.7998
"2007-01-24",9707.0136,12621.76953
"2007-01-25",9593.0512,12502.55957
"2007-01-26",9584.2856,12487.01953
"2007-01-29",9578.8912,12490.78027
"2007-01-30",9628.7912,12523.30957
"2007-01-31",9693.5272,12621.69043
"2007-02-01",9751.52,12673.67969
"2007-02-02",9765.0064,12653.49023
"2007-02-05",9767.7048,12661.74023
"2007-02-06",9770.4008,12666.30957
"2007-02-07",9791.98,12666.87012
"2007-02-08",9779.1672,12637.62988
"2007-02-09",9706.34,12580.83008
"2007-02-12",9673.2968,12552.5498
"2007-02-13",9754.892,12654.84961
"2007-02-14",9818.9536,12741.86035
"2007-02-15",9831.7656,12765.00977
"2007-02-16",9827.0448,12767.57031
"2007-02-20",9847.9496,12786.63965
"2007-02-21",9843.9032,12738.41016
"2007-02-22",9836.4856,12686.01953
"2007-02-23",9798.0488,12647.48047
"2007-02-26",9789.2824,12632.25977
"2007-02-27",9406.936,12216.24023
"2007-02-28",9503.3648,12268.62988
"2007-03-01",9475.0432,12234.33984
"2007-03-02",9350.9664,12114.09961
"2007-03-05",9261.9552,12050.41016
"2007-03-06",9420.4224,12207.58984
"2007-03-07",9410.9824,12192.4502
"2007-03-08",9490.5536,12260.7002
"2007-03-09",9493.2504,12276.32031
"2007-03-12",9507.412,12318.62012
"2007-03-13",9322.6448,12075.95996
"2007-03-14",9392.1008,12133.40039
"2007-03-15",9404.9136,12159.67969
"2007-03-16",9378.5776,12110.41016
"2007-03-19",9491.6376,12226.16992
"2007-03-20",9543.7672,12288.09961
"2007-03-21",9700.8328,12447.51953
"2007-03-22",9693.3848,12461.13965
"2007-03-23",9707.6024,12481.00977
"2007-03-26",9694.7392,12469.07031
"2007-03-27",9671.7208,12397.29004
"2007-03-28",9601.3136,12300.36035
"2007-03-29",9611.468,12348.75
"2007-03-30",9613.4984,12354.34961
"2007-04-02",9624.3312,12382.2998
"2007-04-03",9727.9136,12510.2998
"2007-04-04",9738.7456,12530.0498
"2007-04-05",9765.1488,12560.2002
"2007-04-09",9778.6888,12569.13965
"2007-04-10",9790.1976,12573.84961
"2007-04-11",9750.2544,12484.62012
"2007-04-12",9793.5824,12552.95996
"2007-04-13",9838.2656,12612.12988
"2007-04-16",9931.692,12720.45996
"2007-04-17",9958.0952,12773.04004
"2007-04-18",9970.2816,12803.83984
"2007-04-19",9967.5736,12808.62988
"2007-04-20",10061.6776,12961.98047
"2007-04-23",10023.7648,12919.40039
"2007-04-24",10027.8264,12953.94043
"2007-04-25",10119.9,13089.88965
"2007-04-26",10131.4088,13105.5
"2007-04-27",10123.2848,13120.94043
"2007-04-30",10039.336,13062.91016
"2007-05-01",10065.0624,13136.13965
"2007-05-02",10123.9616,13211.87988
"2007-05-03",10178.8,13241.37988
"2007-05-04",10217.3888,13264.62012
"2007-05-07",10219.4192,13312.96973
"2007-05-08",10205.88,13309.07031
"2007-05-09",10233.6376,13362.87012
"2007-05-10",10126.6704,13215.12988
"2007-05-11",10213.3272,13326.21973
"2007-05-14",10190.9856,13346.78027
"2007-05-15",10193.6944,13383.83984
"2007-05-16",10263.4264,13487.53027
"2007-05-17",10243.1152,13476.71973
"2007-05-18",10332.4808,13556.53027
"2007-05-21",10327.064,13542.87988
"2007-05-22",10318.9408,13539.9502
"2007-05-23",10320.2944,13525.65039
"2007-05-24",10226.8672,13441.12988
"2007-05-25",10269.5192,13507.28027
"2007-05-29",10306.7544,13521.33984
"2007-05-30",10390.7032,13633.08008
"2007-05-31",10379.8704,13627.63965
"2007-06-01",10431.3232,13668.11035
"2007-06-04",10432.6784,13676.32031
"2007-06-05",10391.3808,13595.45996
"2007-06-06",10279.6728,13465.66992
"2007-06-07",10094.1744,13266.73047
"2007-06-08",10225.5128,13424.38965
"2007-06-11",10243.1152,13424.95996
"2007-06-12",10131.4088,13295.00977
"2007-06-13",10283.0592,13482.34961
"2007-06-14",10348.728,13553.73047
"2007-06-15",10407.6112,13639.48047
"2007-06-18",10395.3712,13612.98047
"2007-06-19",10421.2088,13635.41992
"2007-06-20",10276.384,13489.41992
"2007-06-21",10333.4976,13545.83984
"2007-06-22",10236.2688,13360.25977
"2007-06-25",10187.3144,13352.0498
"2007-06-26",10082.6056,13337.66016
"2007-06-27",10226.0696,13427.73047
"2007-06-28",10224.7104,13422.28027
"2007-06-29",10228.1088,13408.62012
"2007-07-02",10320.5784,13535.42969
"2007-07-03",10357.9752,13577.2998
"2007-07-05",10347.096,13565.83984
"2007-07-06",10401.4904,13611.67969
"2007-07-09",10409.6496,13649.96973
"2007-07-10",10261.4256,13501.7002
"2007-07-11",10334.1784,13577.87012
"2007-07-12",10497.36,13861.73047
"2007-07-13",10528.6368,13907.25
"2007-07-16",10527.2768,13950.98047
"2007-07-17",10521.8368,13971.5498
"2007-07-18",10502.7992,13918.21973
"2007-07-19",10543.5952,14000.41016
"2007-07-20",10436.8472,13851.08008
"2007-07-23",10468.804,13943.41992
"2007-07-24",10287.2632,13716.9502
"2007-07-25",10308.3408,13785.07031
"2007-07-26",10064.248,13473.57031
"2007-07-27",9866.3896,13265.46973
"2007-07-30",10020.7328,13358.30957
"2007-07-31",9907.8648,13211.99023
"2007-08-01",9956.1392,13362.37012
"2007-08-02",10035.6912,13463.33008
"2007-08-03",9777.32,13181.91016
"2007-08-06",9941.1824,13468.78027
"2007-08-07",10047.2504,13504.2998
"2007-08-08",10187.3144,13657.86035
"2007-08-09",9885.428,13270.67969
"2007-08-10",9839.1928,13239.54004
"2007-08-13",9874.548,13236.53027
