"date","pagePathLevel1","fullReferrer","pageviews","avgTimeOnPage","sessions","users"
2015-01-01,"/","(direct)",13,46.125,8,5
2015-01-01,"/","PANTHEON_STRIPPED",1,27,1,1
2015-01-01,"/","ask",1,42,1,1
2015-01-01,"/","disqus.com/embed/comments/",4,14.6666666666667,2,2
2015-01-01,"/","facebook.com/",4,57,3,1
2015-01-01,"/","google",18,29.9166666666667,15,9
2015-01-01,"/","l.facebook.com/l.php",1,67,1,1
2015-01-01,"/","lm.facebook.com/l.php",2,170,1,1
2015-01-01,"/","m.gkillcity.com/",1,0,1,1
2015-01-01,"/","semalt.semalt.com/crawler.php",3,0,2,1
2015-01-01,"/","t.co/AYbQHaGOZS",2,6,2,1
2015-01-01,"/","t.co/DW8FaS9pQt",1,45,0,1
2015-01-01,"/","t.co/GxyOgzA8Xx",1,0,1,1
2015-01-01,"/","t.co/c7WCzaSrGX",3,16.6666666666667,2,1
2015-01-01,"/404.html?page=/articulos/tercer-tiempo/el-azul-se-quedo-blanco)&from=http://disqus.com/embed/comments/?base=default&disqus_version=366531e3&f=gkillcity&t_i=node/3839&t_u=http://www.gkillcity.com/articulos/tercer-tiempo/la-revancha-del-bombillo&t_e=La revancha del bombillo&t_d=La revancha del bombillo&t_t=La revancha del bombillo&s_o=default","disqus.com/embed/comments/",1,6,1,1
2015-01-01,"/404.html?page=/articulos/tercer-tiempo/el-azul-se-quedo-blanco)&from=http://disqus.com/embed/comments/?base=default&disqus_version=834bfb0f&f=gkillcity&t_i=node/3839&t_u=http://www.gkillcity.com/articulos/tercer-tiempo/la-revancha-del-bombillo&t_e=La revancha del bombillo&t_d=La revancha del bombillo&t_t=La revancha del bombillo&s_o=default","disqus.com/embed/comments/",1,0,1,1
2015-01-01,"/articulos/","(direct)",139,360.121212121212,107,67
2015-01-01,"/articulos/","PANTHEON_STRIPPED",3,0,2,1
2015-01-01,"/articulos/","ask",3,433.5,0,1
2015-01-01,"/articulos/","disqus.com/embed/comments/",14,305.166666666667,0,1
2015-01-01,"/articulos/","facebook.com/",97,410.9,80,50
2015-01-01,"/articulos/","facebook.com/rodolfo.salazarledesma",1,0,1,1
2015-01-01,"/articulos/","gkillcity.com/",1,0,1,1
2015-01-01,"/articulos/","google",86,214.608695652174,54,38
2015-01-01,"/articulos/","google.com/url",2,103,1,1
2015-01-01,"/articulos/","l.facebook.com/l.php",31,257.333333333333,29,17
2015-01-01,"/articulos/","l.facebook.com/lsr.php",2,0,2,1
2015-01-01,"/articulos/","lm.facebook.com/l.php",18,184.3,9,5
2015-01-01,"/articulos/","lm.facebook.com/lsr.php",5,0,5,2
2015-01-01,"/articulos/","m.facebook.com/",97,790.75,88,53
2015-01-01,"/articulos/","m.facebook.com/home.php",1,0,1,1
2015-01-01,"/articulos/","m.facebook.com/l.php",2,0,2,1
2015-01-01,"/articulos/","m.gkillcity.com/articulos/el-mirador-politico/boris-munoz-venezuela-es-circo-macabro",2,0,2,1
2015-01-01,"/articulos/","paper.li/f-1322853212",2,26,1,1
2015-01-01,"/articulos/","search.tb.ask.com/search/GGmain.jhtml",1,0,1,1
2015-01-01,"/articulos/","t.co/0gwwuY25DS",1,0,1,1
2015-01-01,"/articulos/","t.co/1j5DqGs1JU",3,293,2,1
2015-01-01,"/articulos/","t.co/7G42rIPyXb",5,136,4,1
2015-01-01,"/articulos/","t.co/98XpoKUhwz",3,553,0,1
2015-01-01,"/articulos/","t.co/AYbQHaGOZS",3,130,0,1
2015-01-01,"/articulos/","t.co/CRBXf2HNi0",1,0,1,1
2015-01-01,"/articulos/","t.co/DW8FaS9pQt",1,7,1,1
2015-01-01,"/articulos/","t.co/DZpDJmR1jH",0,0,1,1
2015-01-01,"/articulos/","t.co/EOSoREiAUJ",2,0,2,1
2015-01-01,"/articulos/","t.co/EQMyfJKAUL",1,0,1,1
2015-01-01,"/articulos/","t.co/GxyOgzA8Xx",1,0,1,1
2015-01-01,"/articulos/","t.co/HNrx9ljDBO",1,0,1,1
2015-01-01,"/articulos/","t.co/JZG0nMOUPX",2,0,2,1
2015-01-01,"/articulos/","t.co/KjWBohuN8F",1,0,1,1
2015-01-01,"/articulos/","t.co/S7t3xyxYQY",2,0,2,1
2015-01-01,"/articulos/","t.co/UMUMVrFR6e",1,0,1,1
2015-01-01,"/articulos/","t.co/Z5qN1PLDiH",1,0,1,1
2015-01-01,"/articulos/","t.co/c7WCzaSrGX",3,0,2,2
2015-01-01,"/articulos/","t.co/fmzzrrC2fK",2,0,2,1
2015-01-01,"/articulos/","t.co/fzs7imyxW6",1,0,1,1
2015-01-01,"/articulos/","t.co/hGxQ017OeU",5,277,5,3
2015-01-01,"/articulos/","t.co/kneVu2a0e2",1,0,1,1
2015-01-01,"/articulos/","t.co/lWECYLBB6A",2,384,1,1
2015-01-01,"/articulos/","t.co/nAIEvgSpuB",1,0,1,1
2015-01-01,"/articulos/","t.co/nATv1K6Lt4",1,0,1,1
2015-01-01,"/articulos/","t.co/o29iIV3GgU",3,359,1,1
2015-01-01,"/articulos/","t.co/s4Y0LFh8f3",1,0,1,1
2015-01-01,"/articulos/","t.co/s6DFdm7QEj",1,0,1,1
2015-01-01,"/articulos/","t.co/sV7rhLkOCD",1,0,1,1
2015-01-01,"/articulos/","t.co/veUYLK8MZu",3,914.5,1,1
2015-01-01,"/articulos/","t.co/wpZwn4yEiu",0,0,1,1
2015-01-01,"/articulos/","t.co/xFkbryUM3k",1,0,1,1
2015-01-01,"/articulos/","t.co/xvB6i7ZQ4T",4,89,4,2
2015-01-01,"/articulos/","us8.campaign-archive1.com/",2,0,2,1
2015-01-01,"/articulos/","yahoo",1,0,1,1
2015-01-01,"/autor/","(direct)",3,42,1,2
2015-01-01,"/autor/","PANTHEON_STRIPPED",1,21,0,1
2015-01-01,"/autor/","disqus.com/embed/comments/",14,12.9285714285714,0,1
2015-01-01,"/autor/","facebook.com/",8,12.8,0,4
2015-01-01,"/autor/","google",11,75,8,5
2015-01-01,"/autor/","l.facebook.com/l.php",2,0,0,1
2015-01-01,"/autor/","m.facebook.com/",4,9.5,0,2
2015-01-01,"/autor/","t.co/8AybN7lZkW",1,0,1,1
2015-01-01,"/autor/","t.co/c7WCzaSrGX",2,121,0,1
2015-01-01,"/autor/","t.co/veUYLK8MZu",1,28,0,1
2015-01-01,"/categorias/","(direct)",7,107.666666666667,1,2
2015-01-01,"/categorias/","ask",3,16.3333333333333,0,1
2015-01-01,"/categorias/","disqus.com/embed/comments/",2,18.5,0,1
2015-01-01,"/categorias/","facebook.com/",2,0,0,1
2015-01-01,"/categorias/","google",21,59.0555555555556,2,4
2015-01-01,"/categorias/","m.facebook.com/",1,100,1,1
2015-01-01,"/categorias/","paper.li/f-1322853212",1,5,0,1
2015-01-01,"/categorias/","t.co/98XpoKUhwz",3,54.3333333333333,1,1
2015-01-01,"/categorias/","t.co/AYbQHaGOZS",2,3.5,0,1
2015-01-01,"/categorias/","t.co/DW8FaS9pQt",3,53,0,1
2015-01-01,"/categorias/","t.co/c7WCzaSrGX",1,17,0,1
2015-01-01,"/categorias/","t.co/hGxQ017OeU",1,0,0,1
2015-01-01,"/categorias/","t.co/xvB6i7ZQ4T",1,0,0,1
2015-01-01,"/ficheros","(direct)",1,15,0,1
2015-01-01,"/ficheros","google",4,8,0,1
2015-01-01,"/ficheros/","(direct)",10,20.7777777777778,0,1
2015-01-01,"/ficheros/","gkillcity.com/ficheros/escocia-voto-contra-su-independencia/que-sucedio-escocia-septiembre-del-2014",3,0,3,1
2015-01-01,"/formulario-donantes","facebook.com/",1,0,0,1
2015-01-01,"/http:/","facebook.com/",0,0,0,1
2015-01-01,"/http:/","l.facebook.com/l.php",0,0,0,1
2015-01-01,"/pagina/","google",3,34,0,2
2015-01-01,"/pagina/","m.facebook.com/",1,0,0,1
2015-01-01,"/pagina/","t.co/c7WCzaSrGX",1,22,0,1
2015-01-01,"/quien-hace-gkillcity","PANTHEON_STRIPPED",1,389,0,1
2015-01-01,"/quien-hace-gkillcity","disqus.com/embed/comments/",4,49.5,0,1
2015-01-01,"/quien-hace-gkillcity","google",2,905,0,1
2015-01-01,"/quien-hace-gkillcity","t.co/c7WCzaSrGX",3,41.3333333333333,0,1
2015-01-01,"/search/","(direct)",1,5,0,1
2015-01-01,"/search/","facebook.com/",1,2,0,1
2015-01-01,"/search/","google",2,19.5,0,1
2015-01-02,"/","(direct)",16,82.0833333333333,9,6
2015-01-02,"/","disqus.com/embed/comments/",1,0,1,1
2015-01-02,"/","facebook.com/",9,23.625,4,4
2015-01-02,"/","google",23,151.153846153846,18,10
2015-01-02,"/","l.facebook.com/l.php",1,0,0,1
2015-01-02,"/","lm.facebook.com/l.php",1,0,1,1
2015-01-02,"/","semalt.semalt.com/crawler.php",1,0,1,1
2015-01-02,"/","t.co/5MFGvj4qHu",1,0,1,1
2015-01-02,"/","t.co/DcOGK2S2SB",1,0,1,1
2015-01-02,"/","t.co/GxyOgzA8Xx",4,19,3,2
2015-01-02,"/","t.co/TbqVCQxRzG",1,18,1,1
2015-01-02,"/","t.co/aboczOm01S",1,59,1,1
2015-01-02,"/","t.co/cv2UHn05VJ",1,23,1,1
2015-01-02,"/","t.co/nUqKlpO6AB",1,21,1,1
2015-01-02,"/","us8.campaign-archive1.com/",4,275,1,1
2015-01-02,"/404.html?page=/articulos/tercer-tiempo/el-azul-se-quedo-blanco)&from=http://disqus.com/embed/comments/?base=default&disqus_version=834bfb0f&f=gkillcity&t_i=node/3839&t_u=http://www.gkillcity.com/articulos/tercer-tiempo/la-revancha-del-bombillo&t_e=La revancha del bombillo&t_d=La revancha del bombillo&t_t=La revancha del bombillo&s_o=popular","disqus.com/embed/comments/",1,0,1,1
2015-01-02,"/404.html?page=/index.php/el-chongo/1225-mejor-no-hablar-de-ciertas-cosas&from=","l.facebook.com/l.php",1,7,0,1
2015-01-02,"/404.html?page=/index.php/fuck-you-curuchupa/1596-quien-te-crees-que-eres-para-invalidar-el-camor&from=http://t.co/MJ6H7RN7oY","t.co/MJ6H7RN7oY",1,0,1,1
2015-01-02,"/404.html?page=/index.php/la-galeta/1115-resacas&from=","l.facebook.com/l.php",1,7,0,1
2015-01-02,"/404.html?page=/index.php/la-galeta/1406-la-posibilidad-de-una-isla&from=","l.facebook.com/l.php",1,6,0,1
2015-01-02,"/404.html?page=/index.php/la-galeta/955-coney-island&from=","l.facebook.com/l.php",1,22,0,1
2015-01-02,"/articulos/","(direct)",74,334.25,50,27
2015-01-02,"/articulos/","PANTHEON_STRIPPED",7,188.8,2,1
2015-01-02,"/articulos/","blu178.mail.live.com/",5,585.25,1,1
2015-01-02,"/articulos/","colabpi.pro.ec/index.php/20-eventos/577-conferencia-reformas-y-enmiendas-constitucionales-en-ecuador",2,14,1,1
2015-01-02,"/articulos/","disqus.com/embed/comments/",7,156.571428571429,1,1
2015-01-02,"/articulos/","facebook.com/",34,353.769230769231,19,11
2015-01-02,"/articulos/","google",132,217.404761904762,77,56
2015-01-02,"/articulos/","google.com.ec/imgres",2,193,1,1
2015-01-02,"/articulos/","google.de/imgres",2,21,1,1
2015-01-02,"/articulos/","l.facebook.com/l.php",25,546.666666666667,14,8
2015-01-02,"/articulos/","l.facebook.com/lsr.php",1,711,1,1
2015-01-02,"/articulos/","linkedin.com/",1,0,1,1
2015-01-02,"/articulos/","lm.facebook.com/l.php",7,76.8,2,1
2015-01-02,"/articulos/","lm.facebook.com/lsr.php",3,0,3,2
2015-01-02,"/articulos/","m.facebook.com/",68,400.1,48,28
2015-01-02,"/articulos/","t.co/07vGzy8TxD",1,0,1,1
2015-01-02,"/articulos/","t.co/0KKmHsDfc7",1,0,1,1
2015-01-02,"/articulos/","t.co/0gwwuY25DS",1,0,1,1
2015-01-02,"/articulos/","t.co/1AgsAQJlJG",1,0,1,1
2015-01-02,"/articulos/","t.co/1j5DqGs1JU",2,0,2,1
2015-01-02,"/articulos/","t.co/3hOlYAJ2XC",3,569,2,1
2015-01-02,"/articulos/","t.co/AYbQHaGOZS",1,0,1,1
2015-01-02,"/articulos/","t.co/CRBXf2HNi0",1,0,2,1
2015-01-02,"/articulos/","t.co/GXVJKK1R4D",1,0,1,1
2015-01-02,"/articulos/","t.co/GxyOgzA8Xx",2,18,0,1
2015-01-02,"/articulos/","t.co/JZG0nMOUPX",1,0,1,1
2015-01-02,"/articulos/","t.co/QT4dlfD5EG",1,0,1,1
2015-01-02,"/articulos/","t.co/S7t3xyxYQY",1,0,1,1
2015-01-02,"/articulos/","t.co/TbqVCQxRzG",1,0,0,1
2015-01-02,"/articulos/","t.co/ThmD6iuf6d",2,0,2,1
2015-01-02,"/articulos/","t.co/aboczOm01S",2,12,0,1
2015-01-02,"/articulos/","t.co/c7WCzaSrGX",1,0,1,1
2015-01-02,"/articulos/","t.co/cv2UHn05VJ",1,0,0,1
2015-01-02,"/articulos/","t.co/hGxQ017OeU",2,0,2,1
2015-01-02,"/articulos/","t.co/kneVu2a0e2",3,169.5,1,1
2015-01-02,"/articulos/","t.co/nAIEvgSpuB",1,0,1,1
2015-01-02,"/articulos/","t.co/nUqKlpO6AB",2,100,0,1
2015-01-02,"/articulos/","t.co/o29iIV3GgU",2,0,2,1
2015-01-02,"/articulos/","t.co/qtJ8smjns4",1,0,1,1
2015-01-02,"/articulos/","t.co/s4Y0LFh8f3",1,0,1,1
2015-01-02,"/articulos/","t.co/sPNwsOW7KZ",1,0,1,1
2015-01-02,"/articulos/","t.co/wpZwn4yEiu",2,0,2,1
2015-01-02,"/articulos/","t.co/xvB6i7ZQ4T",2,0,2,1
2015-01-02,"/articulos/","twitter.com/search",1,0,1,1
2015-01-02,"/articulos/","us8.campaign-archive1.com/",9,351.375,1,1
2015-01-02,"/autor/","(direct)",2,7,1,1
2015-01-02,"/autor/","blu178.mail.live.com/",4,80.25,1,1
2015-01-02,"/autor/","colabpi.pro.ec/index.php/20-eventos/577-conferencia-reformas-y-enmiendas-constitucionales-en-ecuador",1,46,0,1
2015-01-02,"/autor/","disqus.com/embed/comments/",2,11,0,1
2015-01-02,"/autor/","facebook.com/",1,17,0,1
2015-01-02,"/autor/","google",15,58.75,12,9
2015-01-02,"/autor/","l.facebook.com/lsr.php",1,0,0,1
2015-01-02,"/autor/","m.facebook.com/",2,7.5,0,1
2015-01-02,"/autor/","t.co/aboczOm01S",1,9,0,1
2015-01-02,"/categorias/","(direct)",9,74.25,1,2
2015-01-02,"/categorias/","blu178.mail.live.com/",3,102,0,1
2015-01-02,"/categorias/","disqus.com/embed/comments/",5,212,0,1
2015-01-02,"/categorias/","facebook.com/",7,8.85714285714286,0,2
2015-01-02,"/categorias/","google",13,29.0833333333333,1,4
2015-01-02,"/categorias/","t.co/aboczOm01S",4,134.666666666667,0,1
2015-01-02,"/categorias/","t.co/cv2UHn05VJ",1,4,0,1
2015-01-02,"/edicion/","google",1,9,0,1
2015-01-02,"/edicion/","us8.campaign-archive1.com/",2,1491,0,1
2015-01-02,"/ficheros/","facebook.com/",1,20,0,1
2015-01-02,"/ficheros/","google",3,15.5,1,1
2015-01-02,"/formulario-donantes","PANTHEON_STRIPPED",2,7.5,0,1
2015-01-02,"/formulario-donantes","facebook.com/",3,140.5,0,1
2015-01-02,"/formulario-donantes","google",1,304,0,1
2015-01-02,"/http:/","l.facebook.com/l.php",0,0,0,1
2015-01-02,"/pagina/","PANTHEON_STRIPPED",1,128,0,1
2015-01-02,"/pagina/","blu178.mail.live.com/",1,71,0,1
2015-01-02,"/pagina/","facebook.com/",3,25.6666666666667,0,1
2015-01-02,"/quien-hace-gkillcity","facebook.com/",1,273,0,1
2015-01-02,"/search/","(direct)",2,27,1,1
2015-01-03,"/","(direct)",23,40.25,12,9
2015-01-03,"/","Amigos de GkillCity.com",1,12,1,1
2015-01-03,"/","PANTHEON_STRIPPED",2,26,2,1
2015-01-03,"/","buttons-for-website.com/",1,0,1,1
2015-01-03,"/","disqus.com/embed/comments/",1,0,1,1
2015-01-03,"/","facebook.com/",5,4,5,2
2015-01-03,"/","gkillcity.us8.list-manage.com/subscribe/post",1,27,1,1
2015-01-03,"/","gkillcity.us8.list-manage1.com/subscribe/confirm",1,7,1,1
2015-01-03,"/","gkillcity.us8.list-manage2.com/subscribe/confirm",1,0,1,1
2015-01-03,"/","google",24,45.6842105263158,17,12
2015-01-03,"/","l.facebook.com/l.php",1,24,0,1
2015-01-03,"/","m.facebook.com/",1,0,1,1
2015-01-03,"/","planarteria.com/2014/01/blog-los-mejores-discos-del-2013-por-carlo-ruiz/",1,31,0,1
2015-01-03,"/","quitogay.net/opinion.html",1,0,1,1
2015-01-03,"/","t.co/07vGzy8TxD",1,36,1,1
2015-01-03,"/","t.co/BwwbMC9arS",1,0,1,1
2015-01-03,"/","t.co/RCvrZVQX7v",2,62,1,1
2015-01-03,"/","t.co/xvB6i7ZQ4T",3,7,0,1
2015-01-03,"/","yahoo",1,179,1,1
2015-01-03,"/404.html?page=/articulos/el-mirador-político/el-cuco-del-uno-por-uno&from=http://planarteria.com/2014/01/blog-los-mejores-discos-del-2013-por-carlo-ruiz/","planarteria.com/2014/01/blog-los-mejores-discos-del-2013-por-carlo-ruiz/",1,64,1,1
2015-01-03,"/404.html?page=/articulos/el-mirador-político/por-qué-no-votarí-por-jaime-nebot&from=http://l.facebook.com/lsr.php?u=http://gkillcity.com/articulos/el-mirador-político/por-qué-no-votarí-por-jaime-nebot&ext=1420314450&hash=AclBnOHnp_SHIdVio28A05qqG5x8BLI5BNNvVJv1UxRREw","l.facebook.com/lsr.php",1,0,1,1
2015-01-03,"/404.html?page=/categoria/el-mirador-político&from=","(direct)",2,62,1,1
2015-01-03,"/404.html?page=/index.php/el-mirador/1332-interregnum&from=http://aboscan.blogspot.com/search/label/Vatileaks","aboscan.blogspot.com/search/label/Vatileaks",1,0,1,1
2015-01-03,"/404.html?page=/index.php/secciones/el-chongo/huecas-pepas-de-guayaquil/638-restaurante-chelin-cronica-express-balda&from=http://t.co/9yV6awgDh5","t.co/9yV6awgDh5",1,0,1,1
2015-01-03,"/?option=com_content&view=article&id=204:articulo-infidelidad-gilda-orellana&catid=48:fuck-you-curuchupa&Itemid=13","(direct)",1,171,1,1
2015-01-03,"/articulos/","(direct)",63,330.970588235294,28,18
2015-01-03,"/articulos/","Amigos de GkillCity.com",1,0,0,1
2015-01-03,"/articulos/","PANTHEON_STRIPPED",2,0,2,1
2015-01-03,"/articulos/","colabpi.pro.ec/index.php/20-eventos/577-conferencia-reformas-y-enmiendas-constitucionales-en-ecuador",1,0,1,1
2015-01-03,"/articulos/","facebook.com/",25,438.285714285714,17,9
2015-01-03,"/articulos/","gkillcity.us8.list-manage.com/subscribe/post",2,612,0,1
2015-01-03,"/articulos/","gkillcity.us8.list-manage1.com/subscribe/confirm",3,139.5,0,1
2015-01-03,"/articulos/","google",137,273.394736842105,90,62
2015-01-03,"/articulos/","google.co.ve/imgres",1,0,1,1
2015-01-03,"/articulos/","google.fr/imgres",1,0,1,1
2015-01-03,"/articulos/","l.facebook.com/l.php",10,68,7,3
2015-01-03,"/articulos/","l.facebook.com/l/NAQFF5yrq/www.gkillcity.com/articulos/chongo-cultural/el-mastropiero-ecuatoriano",1,0,1,1
2015-01-03,"/articulos/","l.facebook.com/lsr.php",3,18.5,1,1
2015-01-03,"/articulos/","lm.facebook.com/l.php",1,0,1,1
2015-01-03,"/articulos/","lm.facebook.com/lsr.php",1,0,1,1
2015-01-03,"/articulos/","m.facebook.com/",22,0,22,12
2015-01-03,"/articulos/","m.facebook.com/l.php",4,0,4,2
2015-01-03,"/articulos/","m.gkillcity.com/articulos/el-mirador-politico/boris-munoz-venezuela-es-circo-macabro",18,400.066666666667,3,1
2015-01-03,"/articulos/","planarteria.com/2014/01/blog-los-mejores-discos-del-2013-por-carlo-ruiz/",1,0,0,1
2015-01-03,"/articulos/","search.iminent.com/es-ES/search/",1,0,1,1
2015-01-03,"/articulos/","search.tb.ask.com/search/GGmain.jhtml",1,0,1,1
2015-01-03,"/articulos/","t.co/07vGzy8TxD",1,0,0,1
2015-01-03,"/articulos/","t.co/1j5DqGs1JU",2,0,2,1
2015-01-03,"/articulos/","t.co/6gPBlO5KNW",1,0,1,1
2015-01-03,"/articulos/","t.co/98XpoKUhwz",1,0,1,1
2015-01-03,"/articulos/","t.co/9ji0DYspVF",2,0,2,1
2015-01-03,"/articulos/","t.co/Q5MWZQiWb4",1,0,1,1
2015-01-03,"/articulos/","t.co/QT4dlfD5EG",1,0,1,1
2015-01-03,"/articulos/","t.co/RCvrZVQX7v",1,441,0,1
2015-01-03,"/articulos/","t.co/Rpi0H2NnLZ",2,0,1,1
2015-01-03,"/articulos/","t.co/S7t3xyxYQY",1,0,1,1
2015-01-03,"/articulos/","t.co/ThmD6iuf6d",1,0,1,1
2015-01-03,"/articulos/","t.co/aboczOm01S",1,0,1,1
2015-01-03,"/articulos/","t.co/cv2UHn05VJ",1,0,1,1
2015-01-03,"/articulos/","t.co/esBhVypDo0",1,0,1,1
2015-01-03,"/articulos/","t.co/fNuUKYDo4G",1,0,1,1
2015-01-03,"/articulos/","t.co/hGxQ017OeU",1,0,2,1
2015-01-03,"/articulos/","t.co/i6VUjDwsbb",1,0,0,1
2015-01-03,"/articulos/","t.co/kP91kGr7nK",3,697,1,1
2015-01-03,"/articulos/","t.co/o29iIV3GgU",1,0,1,1
2015-01-03,"/articulos/","t.co/p9lQ4sseH5",1,0,1,1
2015-01-03,"/articulos/","t.co/pYuoQy83By",1,0,1,1
2015-01-03,"/articulos/","t.co/s4Y0LFh8f3",2,51,1,1
2015-01-03,"/articulos/","t.co/s6DFdm7QEj",2,104,1,1
2015-01-03,"/articulos/","t.co/sOUNhgjcEa",1,0,1,1
2015-01-03,"/articulos/","t.co/t8HsVkq9ek",2,0,2,1
2015-01-03,"/articulos/","t.co/veUYLK8MZu",1,0,1,1
2015-01-03,"/articulos/","t.co/xvB6i7ZQ4T",5,177.25,3,2
2015-01-03,"/articulos/","t.co/yvNIcVromw",1,0,1,1
2015-01-03,"/articulos/","yahoo",2,0,2,1
2015-01-03,"/autor/","(direct)",7,11,1,3
2015-01-03,"/autor/","google",14,137.888888888889,8,6
2015-01-03,"/autor/","t.co/kP91kGr7nK",2,18,0,1
2015-01-03,"/autor/","t.co/xvB6i7ZQ4T",2,4,0,1
2015-01-03,"/autor/","yahoo",1,0,0,1
2015-01-03,"/categorias/","(direct)",18,29.1666666666667,0,2
2015-01-03,"/categorias/","facebook.com/",2,2,0,1
2015-01-03,"/categorias/","gkillcity.us8.list-manage.com/subscribe/post",1,11,0,1
2015-01-03,"/categorias/","gkillcity.us8.list-manage1.com/subscribe/confirm",2,23.5,0,1
2015-01-03,"/categorias/","google",19,22,0,6
2015-01-03,"/categorias/","t.co/07vGzy8TxD",1,11,0,1
2015-01-03,"/categorias/","t.co/aboczOm01S",2,22.5,0,1
2015-01-03,"/edicion/","(direct)",1,6,0,1
2015-01-03,"/edicion/","google",2,6,0,1
2015-01-03,"/edicion/","t.co/i6VUjDwsbb",2,43.5,1,1
2015-01-03,"/ficheros","(direct)",1,9,0,1
2015-01-03,"/ficheros","google",1,7,0,1
2015-01-03,"/ficheros","t.co/aboczOm01S",1,64,0,1
2015-01-03,"/ficheros/","(direct)",18,51.8666666666667,1,1
2015-01-03,"/ficheros/","gkillcity.com/ficheros/escocia-voto-contra-su-independencia/que-sucedio-escocia-septiembre-del-2014",1,0,1,1
2015-01-03,"/http:/","(direct)",0,0,0,1
2015-01-03,"/http:/","gkillcity.us8.list-manage1.com/subscribe/confirm",0,0,0,1
2015-01-03,"/pagina/","(direct)",2,34,0,1
2015-01-03,"/pagina/","PANTHEON_STRIPPED",1,0,0,1
2015-01-03,"/pagina/","google",1,16,0,1
2015-01-03,"/pagina/","l.facebook.com/l.php",1,26,0,1
2015-01-03,"/quien-hace-gkillcity","(direct)",3,324.666666666667,0,1
2015-01-03,"/quien-hace-gkillcity","google",2,30,0,1
2015-01-03,"/quien-hace-gkillcity","l.facebook.com/l.php",1,123,0,1
2015-01-03,"/search/","(direct)",1,8,0,1
2015-01-03,"/search/","google",2,11,0,1
2015-01-03,"/user","(direct)",1,0,0,1
2015-01-04,"/","(direct)",14,20.4444444444444,11,7
2015-01-04,"/","Amigos de GkillCity.com",2,34.5,0,1
2015-01-04,"/","descargarockecuatoriano.blogspot.com/2014/01/sunshine-and-makenzi-sound.html",2,50,0,1
2015-01-04,"/","eluniverso.com/opinion/2014/12/02/nota/4296646/dime-quien-te-asesora-te-dire-quien-eres",1,11,1,1
2015-01-04,"/","facebook.com/",9,35.4285714285714,6,4
2015-01-04,"/","google",34,120.24,22,14
2015-01-04,"/","l.facebook.com/l.php",3,13,0,1
2015-01-04,"/","m.facebook.com/",1,44,0,1
2015-01-04,"/","quitogay.net/opinion.html",1,0,1,1
2015-01-04,"/","t.co/ASGJcGoNBL",2,502,1,1
2015-01-04,"/","t.co/GxyOgzA8Xx",1,0,1,1
2015-01-04,"/","t.co/RCvrZVQX7v",4,23.6666666666667,1,1
2015-01-04,"/","t.co/cg9nXnjHXz",1,16,1,1
2015-01-04,"/","t.co/pYuoQy83By",1,17,1,1
2015-01-04,"/","t.co/yEoOlGO95q",4,58.75,1,1
2015-01-04,"/","us8.campaign-archive2.com/",4,46.75,3,1
2015-01-04,"/404.html?page=/articulos/el-mirador-político/las-imágenes-de-la-dignidad&from=http://www.google.es/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=0CAcQjRw&url=http://gkillcity.com/articulos/el-mirador-político/las-imágenes-de-la-dignidad&ei=qIepVOWoFZDtaPrOgtAM&bvm=bv.82001339,d.d2s&psig=AFQjCNG7jFAkdSziBvzEufvdiHFzboDzGg&ust=1420482722557023","google",1,0,1,1
2015-01-04,"/404.html?page=/index.php/el-mirador/1343-por-que-venezuela-ha-perdido-catorce-anos-y-va-a-estar-mejor-sin-chavez&from=","(direct)",1,0,1,1
2015-01-04,"/404.html?page=/index.php/el-mirador/1556-qlo-digno-era-decir-qquebreqq&from=http://t.co/kvgvbdmQcT","t.co/kvgvbdmQcT",1,0,1,1
2015-01-04,"/404.html?page=/index.php/el-mirador/970-iderecho-al-trabajo-de-los-comerciantes-ciegos-itu-madre&from=https://www.facebook.com/","facebook.com/",1,0,1,1
2015-01-04,"/404.html?page=/taxonomy/term/3787&from=http://www.gkillcity.com/","us8.campaign-archive2.com/",1,7,0,1
